ziel;jahr;serie;wert;szenario
M1;2027;TS_ELECTRIC;4876;M
M1;2028;TS_ELECTRIC;6034;M
M1;2029;TS_ELECTRIC;7372;M
M1;2030;TS_ELECTRIC;8773;M
M1;2031;TS_ELECTRIC;10357;M
M1;2032;TS_ELECTRIC;11461;M
M1;2033;TS_ELECTRIC;14536;M
M1;2034;TS_ELECTRIC;17876;M
M1;2035;TS_ELECTRIC;20899;M
M1;2036;TS_ELECTRIC;25270;M
M1;2037;TS_ELECTRIC;25270;M
M1;2038;TS_ELECTRIC;25270;M
M1;2039;TS_ELECTRIC;25270;M
M1;2040;TS_ELECTRIC;24112;M
M1;2024;PCT_ELECTRIC;3.2904665048225183;M
M1;2025;PCT_ELECTRIC;4.833151075322266;M
M1;2026;PCT_ELECTRIC;6.405020920502092;M
M1;2027;PCT_ELECTRIC;8.243170137949688;M
M1;2028;PCT_ELECTRIC;10.30396174863388;M
M1;2029;PCT_ELECTRIC;12.71604512367613;M
M1;2030;PCT_ELECTRIC;15.285569920200718;M
M1;2031;PCT_ELECTRIC;18.2277367124252;M
M1;2032;PCT_ELECTRIC;20.374386688473297;M
M1;2033;PCT_ELECTRIC;26.10210274919643;M
M1;2034;PCT_ELECTRIC;32.42400058042516;M
M1;2035;PCT_ELECTRIC;38.28988109415364;M
M1;2036;PCT_ELECTRIC;46.765985009715926;M
M1;2037;PCT_ELECTRIC;47.23805963174129;M
M1;2038;PCT_ELECTRIC;47.71525679758308;M
M1;2039;PCT_ELECTRIC;48.197596795727634;M
M1;2040;PCT_ELECTRIC;46.453203868531574;M
M1;2024;f1;0.985;H
M1;2025;f1;0.985;H
M1;2026;f1;0.985;H
M1;2027;f1;0.985;H
M1;2028;f1;0.985;H
M1;2029;f1;0.985;H
M1;2030;f1;0.985;H
M1;2031;f1;0.985;H
M1;2032;f1;0.985;H
M1;2033;f1;0.985;H
M1;2034;f1;0.985;H
M1;2035;f1;0.985;H
M1;2036;f1;0.985;H
M1;2037;f1;0.985;H
M1;2038;f1;0.985;H
M1;2039;f1;0.985;H
M1;2040;f1;0.985;H
M1;2024;f2;11.0;H
M1;2025;f2;11.0;H
M1;2026;f2;11.0;H
M1;2027;f2;11.0;H
M1;2028;f2;11.0;H
M1;2029;f2;11.0;H
M1;2030;f2;11.0;H
M1;2031;f2;11.0;H
M1;2032;f2;10.0;H
M1;2033;f2;9.0;H
M1;2034;f2;8.0;H
