ziel;jahr;serie;wert;szenario
M1;2024;TS_ELECTRIC;2006;M
M1;2025;TS_ELECTRIC;2463;M
M1;2026;TS_ELECTRIC;3166;M
M1;2027;TS_ELECTRIC;4203;M
M1;2028;TS_ELECTRIC;5597;M
M1;2029;TS_ELECTRIC;7274;M
M1;2030;TS_ELECTRIC;9252;M
M1;2031;TS_ELECTRIC;11572;M
M1;2032;TS_ELECTRIC;13698;M
M1;2033;TS_ELECTRIC;19329;M
M1;2034;TS_ELECTRIC;26227;M
M1;2035;TS_ELECTRIC;32732;M
M1;2036;TS_ELECTRIC;39956;M
M1;2037;TS_ELECTRIC;39956;M
M1;2038;TS_ELECTRIC;39956;M
M1;2039;TS_ELECTRIC;39956;M
M1;2040;TS_ELECTRIC;38562;M
M1;2024;PCT_ELECTRIC;3.2904665048225183;M
M1;2025;PCT_ELECTRIC;4.0809225569142065;M
M1;2026;PCT_ELECTRIC;5.298744769874477;M
M1;2027;PCT_ELECTRIC;7.105423316202327;M
M1;2028;PCT_ELECTRIC;9.557718579234972;M
M1;2029;PCT_ELECTRIC;12.54700382930279;M
M1;2030;PCT_ELECTRIC;16.120151932257727;M
M1;2031;PCT_ELECTRIC;20.366068285814855;M
M1;2032;PCT_ELECTRIC;24.351134181895755;M
M1;2033;PCT_ELECTRIC;34.7088293918009;M
M1;2034;PCT_ELECTRIC;47.571283465138215;M
M1;2035;PCT_ELECTRIC;59.96958648613987;M
M1;2036;PCT_ELECTRIC;73.94466549458684;M
M1;2037;PCT_ELECTRIC;74.69109262547902;M
M1;2038;PCT_ELECTRIC;75.44561933534743;M
M1;2039;PCT_ELECTRIC;76.20827770360481;M
M1;2040;PCT_ELECTRIC;74.29198936539129;M
M1;2024;f1;0.985;H
M1;2025;f1;0.985;H
M1;2026;f1;0.985;H
M1;2027;f1;0.985;H
M1;2028;f1;0.985;H
M1;2029;f1;0.985;H
M1;2030;f1;0.985;H
M1;2031;f1;0.985;H
M1;2032;f1;0.985;H
M1;2033;f1;0.985;H
M1;2034;f1;0.985;H
M1;2035;f1;0.985;H
M1;2036;f1;0.985;H
M1;2037;f1;0.985;H
M1;2038;f1;0.985;H
M1;2039;f1;0.985;H
M1;2040;f1;0.985;H
M1;2024;f2;11;H
M1;2025;f2;11.0;H
M1;2026;f2;11.0;H
M1;2027;f2;11.0;H
M1;2028;f2;11.0;H
M1;2029;f2;11.0;H
M1;2030;f2;11.0;H
M1;2031;f2;11;H
M1;2032;f2;10.0;H
M1;2033;f2;9.0;H
M1;2034;f2;8.0;H
M1;2035;f2;7.0;H
M1;2036;f2;11;H
M1;2037;f2;11.0;H
M1;2038;f2;11.0;H
M1;2039;f2;11.0;H
M1;2040;f2;11.0;H
M1;2024;f3;0.1;H
M1;2025;f3;0.1809090909090909;H
M1;2026;f3;0.26181818181818184;H
M1;2027;f3;0.34272727272727277;H
M1;2028;f3;0.4236363636363637;H
M1;2029;f3;0.5045454545454546;H
M1;2030;f3;0.5854545454545456;H
M1;2031;f3;0.6663636363636365;H
M1;2032;f3;0.7472727272727274;H
M1;2033;f3;0.8281818181818184;H
M1;2034;f3;0.9090909090909093;H
M1;2035;f3;0.9900000000000002;H
M1;2036;f3;0.99;H
M1;2037;f3;0.99;H
M1;2038;f3;0.99;H
M1;2039;f3;0.99;H
M1;2040;f3;0.99;H
M1;2024;TS_TOTAL;60964.0;H
M1;2025;TS_TOTAL;60050;H
M1;2026;TS_TOTAL;59149;H
M1;2027;TS_TOTAL;58262;H
